Word    Lemma   Pos-Tag Ner-Tag
Hrvatska	Hrvatska	Npfsn	B-loc
pozvana	pozvati	Appfsny	O
da	da	Cs	O
ubrza	ubrzati	Vmr3s	O
reforme	reforma	Ncfpa	O
potrebne	potreban	Agpfpny	O
za	za	Sa	O
ulazak	ulazak	Ncmsan	O
u	u	Sa	O
EU	EU	Npmsan	B-org

Hrvatska	Hrvatska	Npfsn	B-loc
mora	morati	Vmr3s	O
da	da	Cs	O
u	u	Sa	O
sledeća	sledeći	Agpnpay	O
tri	tri	Mlc	O
meseca	mesec	Ncmsg	O
ubrza	ubrzati	Vmr3s	O
reforme	reforma	Ncfpa	O
koje	koji	Pi-fpa	O
zahteva	zahtevati	Vmr3s	O
EU	EU	Npmsn	B-org
,	,	Z	O
ako	ako	Cs	O
želi	želeti	Vmr3s	O
da	da	Cs	O
ostane	ostati	Vmr3s	O
na	na	Sl	O
putu	put	Ncmsl	O
za	za	Sa	O
ulazak	ulazak	Ncmsan	O
u	u	Sa	O
članstvo	članstvo	Ncnsa	O
,	,	Z	O
kako	kako	Cs	O
se	sebe	Px--sa	O
predviđa	predviđati	Vmr3s	O
,	,	Z	O
2010.	2010.	Mdo	O
godine	godina	Ncfsg	O
,	,	Z	O
naglasio	naglasiti	Vmp-sm	O
je	biti	Var3s	O
komesar	komesar	Ncmsn	O
EU	EU	Npmsn	B-org
za	za	Sa	O
proširenje	proširenje	Ncnsa	O
Oli	Oli	Npmsn	B-per
Ren	Ren	Npmsn	I-per
u	u	Sa	O
utorak	utorak	Ncmsan	O
.	.	Z	O

"	"	Z	O
Predstoji	predstojati	Vmr3s	O
veliki	velik	Agpmsayn	O
posao	posao	Ncmsan	O
,	,	Z	O
u	u	Sl	O
oblasti	oblast	Ncfsl	O
reforme	reforma	Ncfsg	O
pravosuđa	pravosuđe	Ncnsg	O
i	i	Cc	O
državne	državni	Agpfsgy	O
uprave	uprava	Ncfsg	O
na	na	Sa	O
primer	primer	Ncmsan	O
,	,	Z	O
kao	kao	Cs	O
i	i	Cc	O
borbi	borba	Ncfsl	O
protiv	protiv	Sg	O
korupcije	korupcija	Ncfsg	O
"	"	Z	O
,	,	Z	O
rekao	reći	Vmp-sm	O
je	biti	Var3s	O
komesar	komesar	Ncmsn	O
EU	EU	Npmsg	B-org
za	za	Sa	O
proširenje	proširenje	Ncnsa	O
Oli	Oli	Npmsn	B-per
Ren	Ren	Npmsn	I-per
.	.	Z	O

Sledeća	sledeći	Agpmsgn	O
tri	tri	Mlc	O
meseca	mesec	Ncmsg	O
biće	biti	Vmf3s	O
od	od	Sg	O
presudnog	presudan	Agpmsgy	O
značaja	značaj	Ncmsg	O
za	za	Sa	O
kandidaturu	kandidatura	Ncfsa	O
Hrvatske	Hrvatska	Npfsg	B-loc
da	da	Cs	O
postane	postati	Vmr3s	O
28.	28.	Mdo	O
članica	članica	Ncfsn	O
EU	EU	Npmsn	B-org
,	,	Z	O
kako	kako	Cs	O
se	sebe	Px--sa	O
ta	taj	Pd-fsn	O
zemlja	zemlja	Ncfsn	O
nada	nadati	Vmr3s	O
,	,	Z	O
2010.	2010.	Mdo	O
godine	godina	Ncfsg	O
,	,	Z	O
naglasio	naglasiti	Vmp-sm	O
je	biti	Var3s	O
jedan	jedan	Mlcmsn	O
visoki	visok	Agpmsny	O
zvaničnik	zvaničnik	Ncmsn	O
Evropske	evropski	Agpfsgy	B-org
komisije	komisija	Ncfsg	I-org
(	(	Z	O
EK	EK	Npmsn	B-org
)	)	Z	O
u	u	Sa	O
utorak	utorak	Ncmsan	O
(	(	Z	O
8.	8.	Mdo	O
aprila	april	Ncmsg	O
)	)	Z	O
i	i	Cc	O
pozvao	pozvati	Vmp-sm	O
Zagreb	Zagreb	Npmsan	B-loc
da	da	Cs	O
ubrza	ubrzati	Vmr3s	O
