Proces	O
privatizacije	O
na	O
Kosovu	B-loc
pod	O
lupom	O
Kosovo	B-loc
ozbiljno	O
analizira	O
svoje	O
procese	O
privatizacije	O
u	O
svetlu	O
čestih	O
pritužbi	O
.	O
Bar	O
na	O
papiru	O
,	O
to	O
izgleda	O
kao	O
odlična	O
ideja	O
.	O
Vlada	O
prodaje	O
preduzeća	O
,	O
rešava	O
se	O
tereta	O
upravljanja	O
njima	O
,	O
a	O
novac	O
od	O
prodaje	O
pomaže	O
u	O
finansiranju	O
državnog	O
budžeta	O
.	O
Ali	O
,	O
na	O
Kosovu	B-loc
,	O
kritičari	O
kažu	O
da	O
je	O
pravni	O
proces	O
vezan	O
za	O
privatizaciju	O
složen	O
i	O
politički	O
nabijen	O
,	O
što	O
će	O
imati	O
dugoročan	O
uticaj	O
na	O
ekonomiju	O
.	O
Oni	O
kažu	O
da	O
neki	O
vlasnici	O
i	O
zaposleni	O
mogu	O
da	O
koriste	O
određene	O
rupe	O
u	O
zakonu	O
,	O
dok	O
ostali	O
ne	O
dobijaju	O
gotovo	O
ništa	O
.	O
Tu	O
je	O
i	O
etnička	O
komponenta	O
,	O
s	O
obzirom	O
da	O
pojedinci	O
iz	O
različitih	O
zajednica	O
mogu	O
da	O
kažu	O
da	O
je	O
diskriminacija	O
--	O
bilo	O
sada	O
ili	O
ranije	O
--	O
uticala	O
na	O
njihovu	O
mogućnost	O
ostvarivanja	O
koristi	O
od	O
privatizacije	O
.	O
Esat	B-per
Beriša	I-per
je	O
jedan	O
takav	O
primer	O
.	O
""""	O
Moj	O
otac	O
je	O
radio	O
u	O
Hidrotehnici	B-org
,	O
[	O
kao	O
i	O
ja	O
]	O
,	O
do	O
decembra	B-date
1990.	I-date
godine	O
,	O
ali	O
onda	O
sam	O
ja	O
otpušten	O
zato	O
što	O
su	O
nas	O
srpske	O
vlasti	O
otpustile	O
.	O
Posle	O
rata	O
sam	O
se	O
nadao	O
da	O
ću	O
dobiti	O
svoj	O
posao	O
nazad	O
,	O
ali	O
to	O
se	O
nikada	O
nije	O
dogodilo	O
.	O
""""	O
Nakon	O
što	O
je	O
Hidrotehnika	B-org
privatizovana	O
2006.	B-date
godine	O
,	O
""""	O
nikada	O
nisam	O
dobio	O
bilo	O
kakvu	O
nadoknadu	O
,	O
a	O
najgore	O
je	O
to	O
što	O
kompanija	O
više	O
ne	O
postoji	O
,	O
jer	O
je	O
novi	O
vlasnik	O
promenio	O
njenu	O
namenu	O
""""	O
,	O
rekao	O
je	O
Beriša	B-per
za	O
SETimes	B-org
.	O
U	O
nekim	O
slučajevima	O
kompanije	O
su	O
kupovane	O
više	O
zbog	O
zemljišta	O
nego	O
zbog	O
želje	O
da	O
se	O
nastavi	O
rad	O
.	O
On	O
nije	O
usamljen	O
:	O
diskriminatorni	O
zakon	O
koji	O
je	O
nametnuo	O
Miloševićev	B-deriv-per
režim	O
primorao	O
je	O
hiljade	O
Kosovara	B-per
da	O
napuste	O
svoje	O
poslove	O
.	O
Osim	O
toga	O
,	O
mnoge	O
kompanije	O
koje	O
su	O
privatizovane	O
promenile	O
su	O
lokaciju	O
poslovanja	O
i	O
vrlo	O
često	O
se	O
zaposleni	O
,	O
kao	O
što	O
je	O
Beriša	B-per
,	O
skidaju	O
sa	O
platnog	O
spiska	O
,	O
što	O
dovodi	O
do	O
čestih	O
protesta	O
ispred	O
Agencije	B-org
za	I-org
privatizaciju	I-org
.	O
Dardan	B-per
Sejdiu	I-per
,	O
ekonomski	O
ekspert	O
iz	O
pokreta	O
Vetvendosje	B-org
,	O
veliki	O
je	O
kritičar	O
toga	O
.	O
""""	O
Deceniju	O
kasnije	O
vidimo	O
da	O
je	O
ekonomija	O
užasno	O
nestrukturirana	O
.	O
Većina	O
proizvodnih	O
kompanija	O
više	O
ne	O
postoji	O
ili	O
se	O
koriste	O
za	O
skladištenje	O
robe	O
;	O
efikasnost	O
kao	O
koncept	O
su	O
,	O
čini	O
se	O
,	O
bile	O
samo	O
reči	O
,	O
a	O
nezaposlenost	O
se	O
produbljuje	O
.	O
Na	O
kraju	O
je	O
i	O
broj	O
stranih	O
investitora	O
samo	O
simboličan	O
,	O
a	O
i	O
suma	O
koju	O
su	O
uložili	O
je	O
simbolična	O
""""	O
,	O
rekao	O
je	O
Sejdiu	B-per
za	O
SETimes	B-org
.	O
Privatizacija	O
javnih	O
i	O
državnih	O
kompanija	O
poslednjih	O
godina	O
donela	O
je	O
više	O
od	O
600	O
miliona	O
evra	O
